time,amo,odio,felice,triste,bene,male,bello,brutto
00:01,63,6,3,0,3,6,5,2
00:05,40,8,5,1,5,9,9,1
00:10,48,6,3,2,4,5,7,4
00:15,55,8,3,2,7,9,9,6
00:20,57,4,6,1,1,9,7,4
00:25,44,5,4,2,1,9,6,2
00:30,47,2,3,1,3,9,8,2
00:35,49,5,0,0,4,9,10,2
00:40,40,8,2,1,2,4,6,4
00:45,42,6,2,1,1,2,9,7
00:50,45,2,0,1,2,4,6,2
00:55,35,1,7,1,3,8,6,3
01:00,46,2,1,1,6,2,2,1
01:05,39,4,2,2,4,5,2,2
01:10,48,2,2,0,6,3,4,1
01:15,31,2,2,3,3,3,5,1
01:20,36,2,0,0,0,6,4,0
01:25,30,5,6,3,1,5,4,1
01:30,59,3,3,0,1,3,5,0
01:35,27,1,0,1,0,5,9,1
01:40,30,3,1,1,2,8,1,0
01:45,30,3,2,0,3,0,3,1
01:50,20,1,2,0,0,2,2,1
01:55,21,3,2,1,0,4,2,1
02:00,30,3,3,0,3,2,1,1
02:05,11,3,1,1,1,4,4,1
02:10,16,1,1,0,0,1,1,1
02:15,27,1,1,0,2,2,1,2
02:20,18,2,1,0,1,5,0,1
02:25,13,2,1,2,2,3,4,0
02:30,8,1,1,2,1,0,0,1
02:35,9,0,0,0,0,4,1,0
02:40,8,0,0,0,0,2,2,1
02:45,15,1,0,0,0,1,1,1
02:50,7,3,1,0,0,0,0,0
02:55,12,1,4,0,1,1,0,0
03:00,14,2,1,0,0,0,2,0
03:05,12,1,0,0,0,0,0,0
03:10,13,1,1,0,0,1,3,0
03:15,10,2,0,1,1,3,0,0
03:20,4,1,2,0,0,1,1,0
03:25,6,0,0,0,0,3,1,1
03:30,8,0,1,1,0,3,0,0
03:35,9,1,0,0,0,2,2,0
03:40,8,1,1,0,1,0,0,0
03:45,14,0,1,0,1,0,0,1
03:50,5,0,2,0,0,0,0,0
03:55,1,0,0,0,0,0,2,1
04:00,5,0,0,0,0,1,1,0
04:05,1,1,0,0,0,0,1,0
04:10,4,0,0,0,0,1,1,0
04:15,2,0,0,0,0,0,0,0
04:20,3,0,0,0,0,1,1,0
04:25,4,0,0,0,0,0,1,0
04:30,2,0,0,0,1,0,0,0
04:35,4,0,0,0,1,0,0,0
04:40,0,0,2,0,0,1,0,0
04:45,3,1,0,0,0,1,0,0
04:50,4,2,0,0,0,0,0,0
04:55,1,0,0,0,0,0,0,0
05:00,3,0,0,0,0,0,0,0
05:05,1,0,0,0,0,0,0,0
05:10,4,0,0,0,0,0,0,0
05:15,5,1,0,0,0,0,0,0
05:20,3,0,0,0,1,1,1,1
05:25,2,1,0,0,0,0,0,1
05:30,4,0,0,0,0,0,0,0
05:35,3,0,0,0,0,0,0,0
05:40,2,1,0,0,0,0,1,0
05:45,5,0,0,0,0,0,0,0
05:50,4,0,0,0,0,1,0,0
05:55,3,0,0,0,0,0,1,0
06:00,4,0,0,0,1,0,1,0
06:05,2,0,0,0,0,0,0,0
06:10,1,0,0,0,0,0,0,0
06:15,2,0,0,0,0,1,1,0
06:20,3,2,1,0,0,0,0,0
06:25,1,1,0,0,0,0,0,0
06:30,3,0,0,0,0,0,0,0
06:35,0,0,0,0,0,0,2,0
06:40,0,0,0,0,0,1,0,1
06:45,5,1,0,0,0,2,0,0
06:50,5,0,0,0,0,0,0,0
06:55,0,0,0,0,0,0,0,0
07:00,2,0,1,0,0,0,0,0
07:05,1,2,1,0,0,0,4,0
07:10,1,0,0,0,0,0,1,0
07:15,1,0,1,0,0,2,2,0
07:20,4,0,0,0,0,0,0,0
07:25,1,0,1,0,0,1,0,0
07:30,0,0,1,0,0,1,2,0
07:35,3,1,1,0,0,1,2,0
07:40,1,0,0,0,1,0,0,0
07:45,6,0,0,0,0,1,1,0
07:50,7,0,0,0,0,0,1,1
07:55,6,1,0,0,1,2,1,0
08:00,2,0,0,0,0,0,2,0
08:05,7,1,1,0,0,2,0,1
08:10,10,0,1,0,3,3,0,0
08:15,2,0,2,0,0,1,3,0
08:20,13,1,1,0,0,0,3,1
08:25,8,0,2,0,0,0,1,0
08:30,6,2,5,0,1,1,0,0
08:35,7,0,1,1,1,2,1,1
08:40,3,0,0,0,0,1,0,1
08:45,5,0,1,2,2,2,2,0
08:50,9,0,3,0,1,1,1,2
08:55,8,1,2,0,0,6,3,0
09:00,9,0,2,1,1,0,1,0
09:05,3,0,0,0,2,2,3,0
09:10,11,1,1,0,0,1,5,0
09:15,13,2,0,0,1,1,1,0
09:20,10,0,3,1,3,1,5,0
09:25,9,1,0,1,1,1,3,0
09:30,3,1,3,0,0,2,1,0
09:35,9,1,4,1,1,1,6,0
09:40,16,2,1,1,1,1,3,0
09:45,6,2,1,0,1,1,3,1
09:50,14,0,1,0,1,2,3,0
09:55,9,0,0,0,2,4,6,1
10:00,10,1,2,0,1,3,3,1
10:05,10,3,2,0,3,2,1,0
10:10,11,0,1,0,2,1,3,1
10:15,12,1,1,2,3,3,2,1
10:20,12,0,2,2,1,2,2,3
10:25,16,0,0,0,2,1,1,0
10:30,12,2,3,0,1,1,4,2
10:35,12,0,0,0,3,2,5,2
10:40,15,1,2,1,2,2,3,0
10:45,12,4,5,0,1,3,3,1
10:50,12,3,5,0,2,2,3,0
10:55,19,2,2,1,4,2,0,1
